"Key","Publication Year","Author","Title","Series","Manual Tags"
"4SVDZ98N","2000","Lynch, Clifford; Borgmen, Christine L.; Marshall, Catherine C.; Star, Susan Leigh; Bowker, Geoffrey C.; Bishop, Ann P.","Digital Library Use (Panel Session): Social Practice in Design and Evaluation","DL '00","evaluation; design; social context"
"WD59AUCM","2000","Powell, Allison L.; French, James C.","Growth and Server Availability of the NCSTRL Digital Library","DL '00","NCSTRL; measurements; size; growth; institutional commitment"
"N7I9NA5J","2000","Hong, Jen-Shin; Chen, Herng-Yow; Hsiang, Jieh","A Digital Museum of Taiwanese Butterflies","DL '00","content-based retrieval; butterflies; courseware; digital museum; FAQ"
"LTWGRII3","2000","Star, Susan Leigh","“It's Infrastructure All the Way Down” (Keynote Address)","DL '00","infrastructure; keynote"
"26PGQZ36","2000","Theng, Yin Leng; Mohd-Nasir, Norliza; Thimbleby, Harold; Buchanan, George; Jones, Matthew","Designing a Children's Digital Library with and for Children","DL '00","digital library; collaborative writing environment; design partners"
"DRZTY8PF","2000","Gennai, Francesco; Abba, Laura; Buzzi, Marina; Balestri, Maria G.; Mangiaracina, Silvana","Experience in Implementing a Document Delivery Service","DL '00","library; Web; e-mail; Internet document delivery service; MIME"
"ZEF47ZEV","2000","Kumazawa, Masayuki; Kamada, Hironori; Yamada, Atsushi; Hoshino, Hiroshi; Kambayashi, Yahiko; Mohania, Mukesh","Relationship among Copyright Holders for Use and Reuse of Digital Contents","DL '00","copyright; reuse; ecms; "
"CQPYMWPW","2000","Chavez, Robert F.","Generating and Reintegrating Geospatial Data","DL '00","GIS; geography; geospatial integration"
"9F38FCLL","2000","Leazer, Gregory H.; Gilliland-Swetland, Anne J.; Borgman, Christine L.","Evaluating the Use of a Geographic Digital Library in Undergraduate Classrooms: ADEPT","DL '00","usability study; end-user evaluation; student learning"
"FFAAPEP3","2000","Luk, Robert; Yeung, Daniel; Lu, Qin; Leung, Eric; Li, S. Y.; Leung, Fred","Digital Library Access for Chinese Visually Impaired","DL '00","digital library; accessibility; browsing; assistive technology; the visually impaired; user interface design"
"QWWS9QRS","2000","Pritchett, Bob","KeyLinking: Dynamic Hypertext in a Digital Library","DL '00","hypertext; dynamic linking"
"UAKQIQDV","2000","Geisler, Gary; Marchionini, Gary","The Open Video Project: Research-Oriented Digital Video Repository","DL '00","open source; metadata; test collection; digital video; multimedia retrieval"
"Q23FCPIX","2000","Flanders, Julia; Mylonas, Elli","A Licensing Model for Scholarly Textbases","DL '00","business model; DL; licensing; online distribution; SGML; Women Writers Project"
"I43A7JHE","2000","Crane, Gregory; Rydberg-Cox, Jeffrey A.","New Technology and New Roles: The Need for “Corpus Editors”","DL '00","hypertext; corpus linguistics; editing"
"UF5REGMH","2000","Gerwe, Paul; Viles, Charles L.","User Effort in Query Construction and Interface Selection","DL '00","search; interfaces; log files; search interface; queries"
"NDRZXCVT","2000","Houben, Geert-Jan; De Bra, Paul","Automatic Hypermedia Generation for Ad Hoc Queries on Semi-Structured Data","DL '00","personalization; semi-structured data; ad-hoc queries; adaptation; customization; hypermedia geeration"
"F6ZQJ5Y9","2000","Vaughan, Misha W.; Dillon, Andrew","Learning the Shape of Information: A Longitudinal Study of Web-News Reading","DL '00","usability; longitudinal; hypertext; World Wide Web; genre; digital documents; information spaces"
"GYA3BML2","2000","Suleman, Hussein; Fox, Edward A.; Abrams, Marc","Building Quality into a Digital Library","DL '00","repository; XML; quality; certification"
"DYATSQ4L","2000","Paynter, Gordon W.; Witten, Ian H.; Cunningham, Sally Jo; Buchanan, George","Scalable Browsing for Large Collections: A Case Study","DL '00","phrases automatic extraction; case study; phrase hierarchy; sequential grammar induction"
"JYZY8U35","2000","Theng, Yin Leng; Mohd-Nasir, Norliza; Thimbleby, Harold","Purpose and Usability of Digital Libraries","DL '00","usability; “lost in hyperspace”; used models"
"Q2JV29GX","2000","Börner, Katy","Extracting and Visualizing Semantic Structures in Retrieval Results for Browsing","DL '00","information visualization; digital libraries; browsing; Boltzman algorithm; conceptual clustering; LSA"
"DPJBJBZM","2000","Fernández, Lourdes; Sánchez, J. Alfredo; García, Alberto","MiBiblio: Personal Spaces in a Digital Library Universe","DL '00","personalization; user interfaces; agents; personal spaces"
"BLLWYFEA","2000","Kennedy, Paul E.; Hauptmann, Alexander G.","Automatic Title Generation for EM","DL '00","document summarization; title assignment"
"HH9FF43C","2000","Monostori, Krisztián; Zaslavsky, Arkdy; Schmidt, Heinz","Document Overlap Detection System for Distributed Digital Libraries","DL '00","suffix tree; distributed system; overlap detection; string-matching"
"RLGGLQXP","2000","Larkey, Leah S.; Ogilvie, Paul; Price, M. Andrew; Tamilio, Brenden","Acrophile: An Automated Acronym Extractor and Server","DL '00","information extraction; acronyms"
"63HVAFYG","2000","Mooney, Raymond J.; Roy, Loriene","Content-Based Book Recommending Using Learning for Text Categorization","DL '00","machine learning; information filtering; recommender systems; text categorization"
"FVAN7TZE","2000","Snyman, M. M. M.; van Rensburg, M. Jansen","Revolutionizing Name Authority Control","DL '00","authority files; library catalogue management"
"M9EZLV6J","2000","Smith, Lloyd A.; Chiu, Eline F.; Scott, Brian L.","A Speech Interface for Building Musical Score Collections","DL '00","user interfaces; music digital libraries; music notation editors; speech recognition"
"LYQFX5IU","2000","Waugh, Andrew; Wilkinson, Ross; Hills, Brendan; Dell'oro, Jon","Preserving Digital Information Forever","DL '00","digital preservation; archiving"
"E3ERDD7N","2000","Witten, Ian H.; Boddie, Stefan J.; Bainbridge, David; McNab, Rodger J.","Greenstone: A Comprehensive Open-Source Digital Library Software System","DL '00","Greenstone; GML; architecture; description"
"RWZ7CZCZ","2000","Jones, Michael L. W.; Rieger, Robert H.; Treadwell, Paul; Gay, Geri K.","Live from the Stacks: User Feedback on Mobile Computers and Wireless Tools for Library Patrons","DL '00","evaluation; human-computer interaction; DL case studies; mobile and ubiquitous computing"
"QVXJ89Y5","2000","Goh, Dion; Leggett, John","Patron-Augmented Digital Libraries","DL '00","user interfaces; digital scholarship; publishing; patron-augmented digital libraries"
"WTCI349A","2000","Hitchcock, Steve; Carr, Les; Jiao, Zhuoan; Bergmark, Donna; Hall, Wendy; Lagoze, Carl; Harnad, Stevan","Developing Services for Open Eprint Archives: Globalisation, Integration and the Impact of Links","DL '00","distributed collections; electronic publishing; digital library information architectures; eprint archives; Open Archives; reference linking"
"T5LAV42Q","2000","Yao, Ke-Thia; Ko, In-Young; Eleish, Ragy; Neches, Robert","Asynchronous Information Space Analysis Architecture Using Content and Structure-Based Service Brokering","DL '00","metadata; asynchronous service access; component architecture; content and structure; data-driven brokering; information analysis; information management"
"UDRLWYE6","2000","Melnik, Sergey; Garcia-Molina, Hector; Paepcke, Andreas","A Mediation Infrastructure for Digital Library Services","DL '00","interoperability; component design; mediator; wrapper"
"HLP63P2I","2000","Das Neves, Fernando A.; Fox, Edward A.","A Study of User Behavior in an Immersive Virtual Environment for Digital Libraries","DL '00","clustering; interaction design; query coloring; virtual environments"
"3753PT87","2000","Agichtein, Eugene; Gravano, Luis","Snowball: Extracting Relations from Large Plain-Text Collections","DL '00","relations extraction; Snowball; system; newspapers; DIPRE; tuples"
